# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.05243904    0.08978317   -0.04009383    0.00225583    0.59180505   -0.07512588   -0.00427116   -0.07471636
   -0.05243728    0.08979205   -0.04009921    0.00225582    0.59178234   -0.07513198   -0.00427497   -0.07472713
   -0.05223586   -0.09001226   -0.04011628    0.00249326    0.59143821   -0.07506260   -0.07488101   -0.00425606
   -0.05243405    0.08979271   -0.04009500    0.00225582    0.59178863   -0.07512512   -0.00427004   -0.07472273
   -0.05243053    0.08979147   -0.04009775    0.00225582    0.59179215   -0.07512704   -0.00427485   -0.07472656
   -0.05244662    0.08978754   -0.04009808    0.00225583    0.59178337   -0.07513476   -0.00427317   -0.07472180
   -0.05242919    0.08979576   -0.04009916    0.00225583    0.59178289   -0.07512825   -0.00427527   -0.07473036
   -0.05242724    0.08979468   -0.04009827    0.00225583    0.59178817   -0.07512623   -0.00427500   -0.07472923
   -0.05243573    0.08980211   -0.04009986    0.00225583    0.59176173   -0.07513211   -0.00427220   -0.07473226
   -0.05222321   -0.09001588   -0.04011284    0.00249324    0.59144680   -0.07505247   -0.07488090   -0.00425311
   -0.05243476    0.08978677   -0.04009180    0.00225585    0.59180390   -0.07512134   -0.00426811   -0.07471614
   -0.05223493   -0.09000783   -0.04011424    0.00249326    0.59145081   -0.07505957   -0.07487688   -0.00425541
   -0.05243259    0.08979175   -0.04009558    0.00225582    0.59179164   -0.07512520   -0.00427149   -0.07472342
   -0.05243652    0.08978597   -0.04009382    0.00225582    0.59180171   -0.07512474   -0.00427062   -0.07471802
   -0.05243519    0.08980017   -0.04009964    0.00225582    0.59176668   -0.07513158   -0.00427280   -0.07473134
   -0.05243949    0.08979327   -0.04009707    0.00225582    0.59177962   -0.07513023   -0.00427124   -0.07472437
   -0.05221835   -0.09001589   -0.04011422    0.00249325    0.59145033   -0.07505204   -0.07488377   -0.00425598
   -0.05243913    0.08978505   -0.04009602    0.00225582    0.59179869   -0.07512873   -0.00427321   -0.07471988
   -0.05222990   -0.09002248   -0.04011686    0.00249325    0.59142156   -0.07506065   -0.07488712   -0.00425416
   -0.05222993   -0.09001655   -0.04011665    0.00249324    0.59143459   -0.07506040   -0.07488452   -0.00425621
   -0.05222998   -0.09002010   -0.04011519    0.00249325    0.59142835   -0.07505855   -0.07488403   -0.00425293
   -0.05243594    0.08979939   -0.04010075    0.00225582    0.59176643   -0.07513334   -0.00427436   -0.07473228
   -0.05243275    0.08979444   -0.04009732    0.00225582    0.59178392   -0.07512750   -0.00427263   -0.07472667
    0.05237065   -0.09023045    0.04009251    0.00216706    0.59101872    0.07509321    0.00410948    0.07490562
    0.05236431   -0.09023011    0.04009376    0.00216706    0.59102449    0.07509194    0.00411266    0.07490854
   -0.05222681   -0.09001707   -0.04011710    0.00249325    0.59143618   -0.07505956   -0.07488600   -0.00425728
   -0.05243016    0.08979410   -0.04009857    0.00225582    0.59178605   -0.07512793   -0.00427495   -0.07472873
   -0.05221837   -0.09000805   -0.04011002    0.00249325    0.59147158   -0.07504666   -0.07487530   -0.00425366
   -0.05223092   -0.09001099   -0.04011278    0.00249325    0.59144957   -0.07505588   -0.07487715   -0.00425319
   -0.05222522   -0.09000793   -0.04011170    0.00249325    0.59146311   -0.07505192   -0.07487587   -0.00425431
   -0.05243385    0.08979180   -0.04009884    0.00225582    0.59178684   -0.07512995   -0.00427537   -0.07472734
   -0.05243601    0.08979797   -0.04009978    0.00225582    0.59177041   -0.07513213   -0.00427366   -0.07473047
    0.05236069   -0.09023050    0.04009324    0.00216705    0.59102777    0.07508963    0.00411265    0.07490883
